,t,open,high,low,close
0,2024-01-01 17:00:00-05:00,0.68069,0.68137,0.68051,0.68124
1,2024-01-01 17:15:00-05:00,0.68124,0.68138,0.68055,0.68073
2,2024-01-01 17:30:00-05:00,0.68074,0.6811,0.68074,0.68097
3,2024-01-01 17:45:00-05:00,0.68097,0.68103,0.68051,0.6806
4,2024-01-01 18:00:00-05:00,0.6806,0.68126,0.6806,0.68109
5,2024-01-01 18:15:00-05:00,0.68109,0.68118,0.68089,0.68116
6,2024-01-01 18:30:00-05:00,0.68116,0.68118,0.68088,0.68091
7,2024-01-01 18:45:00-05:00,0.68091,0.68099,0.68059,0.68091
8,2024-01-01 19:00:00-05:00,0.68091,0.68142,0.6809,0.68122
9,2024-01-01 19:15:00-05:00,0.68123,0.68128,0.68087,0.68096
10,2024-01-01 19:30:00-05:00,0.68096,0.68117,0.68082,0.68117
11,2024-01-01 19:45:00-05:00,0.68116,0.68143,0.68116,0.68136
12,2024-01-01 20:00:00-05:00,0.68135,0.68224,0.68122,0.68172
13,2024-01-01 20:15:00-05:00,0.68173,0.68219,0.68162,0.68172
14,2024-01-01 20:30:00-05:00,0.68172,0.68178,0.68099,0.68148
15,2024-01-01 20:45:00-05:00,0.68148,0.68174,0.68113,0.68121
16,2024-01-01 21:00:00-05:00,0.68121,0.68136,0.68104,0.68107
17,2024-01-01 21:15:00-05:00,0.68108,0.68127,0.6808,0.68089
18,2024-01-01 21:30:00-05:00,0.68089,0.68093,0.6803,0.68041
19,2024-01-01 21:45:00-05:00,0.68041,0.68051,0.68024,0.68041
20,2024-01-01 22:00:00-05:00,0.68041,0.68069,0.6802,0.68054
21,2024-01-01 22:15:00-05:00,0.68054,0.68075,0.68038,0.6807
22,2024-01-01 22:30:00-05:00,0.6807,0.68167,0.68069,0.68164
23,2024-01-01 22:45:00-05:00,0.68164,0.68188,0.68134,0.68143
24,2024-01-01 23:00:00-05:00,0.68143,0.68157,0.6813,0.68151
25,2024-01-01 23:15:00-05:00,0.68151,0.68189,0.68143,0.68182
26,2024-01-01 23:30:00-05:00,0.68182,0.68204,0.6817,0.68172
27,2024-01-01 23:45:00-05:00,0.68172,0.68187,0.68168,0.68187
28,2024-01-02 00:00:00-05:00,0.68187,0.68275,0.68187,0.68274
29,2024-01-02 00:15:00-05:00,0.68273,0.68298,0.68245,0.68277
30,2024-01-02 00:30:00-05:00,0.68277,0.68317,0.68262,0.68313
31,2024-01-02 00:45:00-05:00,0.68313,0.68388,0.68313,0.68383
32,2024-01-02 01:00:00-05:00,0.68383,0.68386,0.68316,0.68332
33,2024-01-02 01:15:00-05:00,0.68333,0.6835,0.68306,0.6835
34,2024-01-02 01:30:00-05:00,0.6835,0.68358,0.68315,0.68344
35,2024-01-02 01:45:00-05:00,0.68344,0.68346,0.68242,0.68257
36,2024-01-02 02:00:00-05:00,0.68256,0.68276,0.68189,0.68263
37,2024-01-02 02:15:00-05:00,0.68263,0.68299,0.68241,0.68274
38,2024-01-02 02:30:00-05:00,0.68275,0.68302,0.68233,0.68235
39,2024-01-02 02:45:00-05:00,0.68234,0.68238,0.68188,0.68194
40,2024-01-02 03:00:00-05:00,0.68195,0.68337,0.68195,0.68333
