,t,open,high,low,close
0,2024-01-01 17:00:00-05:00,1.10437,1.10451,1.10415,1.10449
1,2024-01-01 17:15:00-05:00,1.1042,1.1045,1.1042,1.10426
2,2024-01-01 17:30:00-05:00,1.10437,1.10437,1.10415,1.10428
3,2024-01-01 17:45:00-05:00,1.10423,1.10441,1.10411,1.10439
4,2024-01-01 18:00:00-05:00,1.10441,1.10447,1.1038,1.10382
5,2024-01-01 18:15:00-05:00,1.10383,1.10384,1.10371,1.10377
6,2024-01-01 18:30:00-05:00,1.10377,1.10385,1.1036,1.10366
7,2024-01-01 18:45:00-05:00,1.10366,1.10373,1.10354,1.10364
8,2024-01-01 19:00:00-05:00,1.10364,1.1038,1.10362,1.1037
9,2024-01-01 19:15:00-05:00,1.1037,1.10374,1.1034,1.10347
10,2024-01-01 19:30:00-05:00,1.10347,1.10359,1.10343,1.10356
11,2024-01-01 19:45:00-05:00,1.10356,1.10384,1.10354,1.10381
12,2024-01-01 20:00:00-05:00,1.1038,1.10432,1.10374,1.10388
13,2024-01-01 20:15:00-05:00,1.10388,1.1043,1.10386,1.10394
14,2024-01-01 20:30:00-05:00,1.10394,1.10398,1.10368,1.10382
15,2024-01-01 20:45:00-05:00,1.10383,1.10401,1.1034,1.10347
16,2024-01-01 21:00:00-05:00,1.10348,1.10358,1.10312,1.10318
17,2024-01-01 21:15:00-05:00,1.10319,1.10321,1.10259,1.10262
18,2024-01-01 21:30:00-05:00,1.10263,1.10269,1.10218,1.10237
19,2024-01-01 21:45:00-05:00,1.10234,1.10241,1.1018,1.10187
20,2024-01-01 22:00:00-05:00,1.10187,1.10236,1.10174,1.10223
21,2024-01-01 22:15:00-05:00,1.10222,1.10241,1.10204,1.10213
22,2024-01-01 22:30:00-05:00,1.10213,1.1023,1.10206,1.1023
23,2024-01-01 22:45:00-05:00,1.1023,1.10248,1.1023,1.10244
24,2024-01-01 23:00:00-05:00,1.10244,1.10249,1.10207,1.10218
25,2024-01-01 23:15:00-05:00,1.10219,1.10226,1.1019,1.10193
26,2024-01-01 23:30:00-05:00,1.10193,1.10204,1.10171,1.10175
27,2024-01-01 23:45:00-05:00,1.10175,1.10212,1.10163,1.10209
28,2024-01-02 00:00:00-05:00,1.10209,1.10253,1.10206,1.10249
29,2024-01-02 00:15:00-05:00,1.10251,1.10283,1.10244,1.10265
30,2024-01-02 00:30:00-05:00,1.10265,1.10305,1.10262,1.103
31,2024-01-02 00:45:00-05:00,1.10301,1.10335,1.10289,1.10331
32,2024-01-02 01:00:00-05:00,1.10332,1.10342,1.10316,1.10319
33,2024-01-02 01:15:00-05:00,1.10319,1.10339,1.10297,1.1032
34,2024-01-02 01:30:00-05:00,1.10321,1.10349,1.10309,1.10337
35,2024-01-02 01:45:00-05:00,1.10338,1.10352,1.10266,1.10287
36,2024-01-02 02:00:00-05:00,1.10286,1.10312,1.10243,1.10281
37,2024-01-02 02:15:00-05:00,1.10281,1.10377,1.10276,1.10372
38,2024-01-02 02:30:00-05:00,1.10371,1.10381,1.10299,1.10301
39,2024-01-02 02:45:00-05:00,1.10301,1.10315,1.10151,1.10156
40,2024-01-02 03:00:00-05:00,1.10156,1.10389,1.10156,1.10324
41,2024-01-02 03:15:00-05:00,1.10324,1.10342,1.10277,1.10289
42,2024-01-02 03:30:00-05:00,1.10289,1.10331,1.1028,1.10293
43,2024-01-02 03:45:00-05:00,1.10293,1.10332,1.10254,1.10298
44,2024-01-02 04:00:00-05:00,1.10298,1.10365,1.1029,1.10352
45,2024-01-02 04:15:00-05:00,1.10352,1.1038,1.10331,1.10333
46,2024-01-02 04:30:00-05:00,1.10333,1.10351,1.1019,1.10197
47,2024-01-02 04:45:00-05:00,1.10197,1.102,1.10108,1.10152
48,2024-01-02 05:00:00-05:00,1.1015,1.10171,1.09971,1.10001
49,2024-01-02 05:15:00-05:00,1.10001,1.10057,1.09996,1.10039
50,2024-01-02 05:30:00-05:00,1.10039,1.10103,1.10029,1.10097
51,2024-01-02 05:45:00-05:00,1.10097,1.10112,1.10028,1.10075
52,2024-01-02 06:00:00-05:00,1.10075,1.10077,1.09894,1.09895
53,2024-01-02 06:15:00-05:00,1.09897,1.09922,1.09785,1.09805
54,2024-01-02 06:30:00-05:00,1.09805,1.09805,1.09704,1.0971
55,2024-01-02 06:45:00-05:00,1.0971,1.09731,1.09667,1.09693
56,2024-01-02 07:00:00-05:00,1.09693,1.09721,1.09677,1.09691
57,2024-01-02 07:15:00-05:00,1.09691,1.09695,1.09611,1.09657
58,2024-01-02 07:30:00-05:00,1.09657,1.09684,1.09579,1.09608
59,2024-01-02 07:45:00-05:00,1.09608,1.09635,1.09537,1.0954
60,2024-01-02 08:00:00-05:00,1.0954,1.0959,1.09533,1.09579
61,2024-01-02 08:15:00-05:00,1.09579,1.09624,1.09518,1.09581
62,2024-01-02 08:30:00-05:00,1.09582,1.09651,1.09571,1.09642
63,2024-01-02 08:45:00-05:00,1.09641,1.09649,1.09492,1.09528
64,2024-01-02 09:00:00-05:00,1.09527,1.09577,1.09449,1.0946
65,2024-01-02 09:15:00-05:00,1.0946,1.09539,1.09446,1.0952
66,2024-01-02 09:30:00-05:00,1.0952,1.09638,1.0951,1.09571
67,2024-01-02 09:45:00-05:00,1.09571,1.09643,1.09514,1.09629
68,2024-01-02 10:00:00-05:00,1.09629,1.09684,1.09551,1.09579
69,2024-01-02 10:15:00-05:00,1.09579,1.0962,1.0953,1.09592
70,2024-01-02 10:30:00-05:00,1.09593,1.09594,1.09497,1.09525
71,2024-01-02 10:45:00-05:00,1.09525,1.09557,1.09407,1.09437
72,2024-01-02 11:00:00-05:00,1.09438,1.09583,1.09407,1.09574
73,2024-01-02 11:15:00-05:00,1.09575,1.09618,1.09556,1.09582
74,2024-01-02 11:30:00-05:00,1.09581,1.09581,1.09443,1.09465
75,2024-01-02 11:45:00-05:00,1.09465,1.09582,1.09465,1.09565
76,2024-01-02 12:00:00-05:00,1.09564,1.09577,1.09479,1.09505
77,2024-01-02 12:15:00-05:00,1.09505,1.09558,1.09457,1.09535
78,2024-01-02 12:30:00-05:00,1.09534,1.09561,1.09513,1.09516
79,2024-01-02 12:45:00-05:00,1.09516,1.09528,1.09466,1.09506
80,2024-01-02 13:00:00-05:00,1.09506,1.09544,1.09475,1.0953
81,2024-01-02 13:15:00-05:00,1.0953,1.0956,1.09523,1.09545
82,2024-01-02 13:30:00-05:00,1.09545,1.0955,1.09475,1.09483
83,2024-01-02 13:45:00-05:00,1.09483,1.09504,1.09462,1.09468
84,2024-01-02 14:00:00-05:00,1.09468,1.09478,1.09424,1.09466
85,2024-01-02 14:15:00-05:00,1.09466,1.095,1.09444,1.09495
86,2024-01-02 14:30:00-05:00,1.09494,1.09503,1.0946,1.0948
87,2024-01-02 14:45:00-05:00,1.0948,1.09488,1.09448,1.09465
88,2024-01-02 15:00:00-05:00,1.09465,1.09512,1.09456,1.09484
89,2024-01-02 15:15:00-05:00,1.09484,1.09506,1.09455,1.09459
90,2024-01-02 15:30:00-05:00,1.09459,1.09487,1.09457,1.09469
91,2024-01-02 15:45:00-05:00,1.09469,1.09487,1.09419,1.09424
92,2024-01-02 16:00:00-05:00,1.09425,1.09428,1.09387,1.09409
93,2024-01-02 16:15:00-05:00,1.09408,1.09421,1.09374,1.09375
94,2024-01-02 16:30:00-05:00,1.09376,1.09409,1.09376,1.09402
95,2024-01-02 16:45:00-05:00,1.09401,1.09419,1.094,1.09407
96,2024-01-02 17:00:00-05:00,1.09425,1.09438,1.09362,1.09411
97,2024-01-02 17:15:00-05:00,1.09414,1.0942,1.09381,1.09397
98,2024-01-02 17:30:00-05:00,1.09396,1.09413,1.09383,1.09396
99,2024-01-02 17:45:00-05:00,1.09396,1.09428,1.09393,1.09411
100,2024-01-02 18:00:00-05:00,1.09413,1.09439,1.09409,1.09431
101,2024-01-02 18:15:00-05:00,1.0943,1.09432,1.09413,1.09429
102,2024-01-02 18:30:00-05:00,1.09428,1.09429,1.09411,1.09417
103,2024-01-02 18:45:00-05:00,1.09415,1.09435,1.09407,1.09415
104,2024-01-02 19:00:00-05:00,1.09414,1.09446,1.09409,1.09445
105,2024-01-02 19:15:00-05:00,1.09445,1.09488,1.09439,1.09486
106,2024-01-02 19:30:00-05:00,1.09486,1.09505,1.0948,1.09498
107,2024-01-02 19:45:00-05:00,1.09498,1.09504,1.09482,1.09493
108,2024-01-02 20:00:00-05:00,1.09492,1.09507,1.09478,1.09497
109,2024-01-02 20:15:00-05:00,1.09496,1.09512,1.09447,1.09506
110,2024-01-02 20:30:00-05:00,1.09507,1.09545,1.09501,1.09543
111,2024-01-02 20:45:00-05:00,1.09543,1.09547,1.09506,1.09513
112,2024-01-02 21:00:00-05:00,1.09513,1.09531,1.09495,1.09508
113,2024-01-02 21:15:00-05:00,1.09507,1.09513,1.09485,1.09487
114,2024-01-02 21:30:00-05:00,1.09487,1.09499,1.09485,1.09493
115,2024-01-02 21:45:00-05:00,1.09493,1.09531,1.0949,1.09522
116,2024-01-02 22:00:00-05:00,1.09522,1.09546,1.09488,1.09488
117,2024-01-02 22:15:00-05:00,1.09488,1.09537,1.09486,1.09533
118,2024-01-02 22:30:00-05:00,1.09531,1.09592,1.09531,1.09591
119,2024-01-02 22:45:00-05:00,1.09591,1.09621,1.09588,1.09608
120,2024-01-02 23:00:00-05:00,1.09608,1.09623,1.09595,1.09606
121,2024-01-02 23:15:00-05:00,1.09607,1.09621,1.09601,1.09603
122,2024-01-02 23:30:00-05:00,1.09603,1.09617,1.0959,1.09597
123,2024-01-02 23:45:00-05:00,1.09597,1.09625,1.09586,1.09623
124,2024-01-03 00:00:00-05:00,1.09623,1.09629,1.09601,1.09608
125,2024-01-03 00:15:00-05:00,1.09609,1.09626,1.09585,1.09585
126,2024-01-03 00:30:00-05:00,1.09584,1.09609,1.0956,1.09568
127,2024-01-03 00:45:00-05:00,1.09568,1.09571,1.09509,1.0951
128,2024-01-03 01:00:00-05:00,1.0951,1.09566,1.09508,1.09565
129,2024-01-03 01:15:00-05:00,1.09565,1.09584,1.09545,1.09578
130,2024-01-03 01:30:00-05:00,1.09577,1.09589,1.09572,1.09583
131,2024-01-03 01:45:00-05:00,1.09583,1.0961,1.09581,1.09585
132,2024-01-03 02:00:00-05:00,1.09584,1.09598,1.09543,1.09551
133,2024-01-03 02:15:00-05:00,1.09552,1.09589,1.09513,1.09576
134,2024-01-03 02:30:00-05:00,1.09576,1.09627,1.0957,1.09575
135,2024-01-03 02:45:00-05:00,1.09575,1.09627,1.09554,1.09604
136,2024-01-03 03:00:00-05:00,1.09603,1.09655,1.09579,1.09641
137,2024-01-03 03:15:00-05:00,1.09641,1.09643,1.09504,1.0953
138,2024-01-03 03:30:00-05:00,1.0953,1.09579,1.09504,1.0956
139,2024-01-03 03:45:00-05:00,1.0956,1.09566,1.09507,1.09527
140,2024-01-03 04:00:00-05:00,1.09527,1.09563,1.09427,1.09434
141,2024-01-03 04:15:00-05:00,1.09434,1.09454,1.0936,1.09389
142,2024-01-03 04:30:00-05:00,1.09389,1.09443,1.09387,1.09393
143,2024-01-03 04:45:00-05:00,1.09393,1.09416,1.09349,1.09364
144,2024-01-03 05:00:00-05:00,1.09363,1.09391,1.09338,1.09351
145,2024-01-03 05:15:00-05:00,1.09351,1.09352,1.09291,1.09294
146,2024-01-03 05:30:00-05:00,1.09294,1.09344,1.09262,1.09278
147,2024-01-03 05:45:00-05:00,1.09278,1.09343,1.09276,1.0928
148,2024-01-03 06:00:00-05:00,1.0928,1.09299,1.09224,1.09228
149,2024-01-03 06:15:00-05:00,1.09227,1.09257,1.09209,1.09228
150,2024-01-03 06:30:00-05:00,1.09228,1.09236,1.09154,1.09179
151,2024-01-03 06:45:00-05:00,1.09179,1.09213,1.09166,1.09195
152,2024-01-03 07:00:00-05:00,1.09195,1.09259,1.09176,1.09258
153,2024-01-03 07:15:00-05:00,1.09259,1.09323,1.09248,1.09263
154,2024-01-03 07:30:00-05:00,1.09262,1.09284,1.09186,1.09205
155,2024-01-03 07:45:00-05:00,1.09205,1.09253,1.09143,1.0917
156,2024-01-03 08:00:00-05:00,1.0917,1.09214,1.09158,1.09178
157,2024-01-03 08:15:00-05:00,1.09178,1.09224,1.091,1.09212
158,2024-01-03 08:30:00-05:00,1.09214,1.09303,1.09196,1.09216
159,2024-01-03 08:45:00-05:00,1.09216,1.09235,1.09154,1.09216
160,2024-01-03 09:00:00-05:00,1.09216,1.09242,1.09129,1.0915
161,2024-01-03 09:15:00-05:00,1.0915,1.09198,1.09108,1.09157
162,2024-01-03 09:30:00-05:00,1.09156,1.09189,1.09097,1.09177
163,2024-01-03 09:45:00-05:00,1.09177,1.09264,1.09137,1.09178
164,2024-01-03 10:00:00-05:00,1.09158,1.0939,1.09123,1.09162
