,t,open,high,low,close
0,2024-01-01 17:00:00-05:00,1.2721,1.27259,1.27197,1.27259
1,2024-01-01 17:15:00-05:00,1.27238,1.27285,1.27201,1.27275
2,2024-01-01 17:30:00-05:00,1.2726,1.27312,1.27167,1.27311
3,2024-01-01 17:45:00-05:00,1.27311,1.27319,1.27266,1.27268
4,2024-01-01 18:00:00-05:00,1.27304,1.27351,1.27301,1.27322
5,2024-01-01 18:15:00-05:00,1.27322,1.27322,1.27259,1.27305
6,2024-01-01 18:30:00-05:00,1.27305,1.27311,1.27268,1.27269
7,2024-01-01 18:45:00-05:00,1.27268,1.2729,1.27259,1.27275
8,2024-01-01 19:00:00-05:00,1.27275,1.27295,1.27265,1.27276
9,2024-01-01 19:15:00-05:00,1.27276,1.27295,1.27214,1.27231
10,2024-01-01 19:30:00-05:00,1.2723,1.27244,1.27216,1.27222
11,2024-01-01 19:45:00-05:00,1.27222,1.27265,1.2722,1.27255
12,2024-01-01 20:00:00-05:00,1.27254,1.27334,1.27238,1.27254
13,2024-01-01 20:15:00-05:00,1.27255,1.273,1.27253,1.27261
14,2024-01-01 20:30:00-05:00,1.27261,1.27264,1.27214,1.27245
15,2024-01-01 20:45:00-05:00,1.27245,1.27266,1.27201,1.27206
16,2024-01-01 21:00:00-05:00,1.27206,1.27253,1.27202,1.27245
17,2024-01-01 21:15:00-05:00,1.27245,1.27246,1.2721,1.27211
18,2024-01-01 21:30:00-05:00,1.27211,1.27227,1.27124,1.27143
19,2024-01-01 21:45:00-05:00,1.27143,1.27149,1.27097,1.27104
20,2024-01-01 22:00:00-05:00,1.27104,1.27169,1.27097,1.27154
21,2024-01-01 22:15:00-05:00,1.27154,1.27165,1.27125,1.27136
22,2024-01-01 22:30:00-05:00,1.27136,1.27157,1.27136,1.27157
23,2024-01-01 22:45:00-05:00,1.27157,1.272,1.2713,1.27184
24,2024-01-01 23:00:00-05:00,1.27184,1.2719,1.27145,1.27155
25,2024-01-01 23:15:00-05:00,1.27155,1.2716,1.27127,1.2713
26,2024-01-01 23:30:00-05:00,1.2713,1.2716,1.27126,1.27126
27,2024-01-01 23:45:00-05:00,1.27126,1.27143,1.27107,1.27142
28,2024-01-02 00:00:00-05:00,1.27142,1.27209,1.2714,1.27207
29,2024-01-02 00:15:00-05:00,1.27207,1.27249,1.27203,1.27238
30,2024-01-02 00:30:00-05:00,1.27238,1.27301,1.27234,1.27298
31,2024-01-02 00:45:00-05:00,1.27298,1.27411,1.27291,1.27369
32,2024-01-02 01:00:00-05:00,1.27369,1.27373,1.27317,1.27339
33,2024-01-02 01:15:00-05:00,1.27339,1.27341,1.27309,1.27341
34,2024-01-02 01:30:00-05:00,1.27341,1.27366,1.27327,1.27338
35,2024-01-02 01:45:00-05:00,1.27338,1.27363,1.27289,1.27311
36,2024-01-02 02:00:00-05:00,1.27311,1.27368,1.27268,1.27346
37,2024-01-02 02:15:00-05:00,1.27346,1.2742,1.27343,1.2739
38,2024-01-02 02:30:00-05:00,1.27391,1.27441,1.2734,1.27342
39,2024-01-02 02:45:00-05:00,1.27342,1.27373,1.27307,1.27323
40,2024-01-02 03:00:00-05:00,1.27323,1.27601,1.27294,1.27576
41,2024-01-02 03:15:00-05:00,1.27576,1.27584,1.27461,1.27492
42,2024-01-02 03:30:00-05:00,1.27492,1.27538,1.27447,1.27492
43,2024-01-02 03:45:00-05:00,1.27493,1.27547,1.27468,1.27497
44,2024-01-02 04:00:00-05:00,1.27497,1.27566,1.27456,1.27514
45,2024-01-02 04:15:00-05:00,1.27514,1.2753,1.27424,1.27445
46,2024-01-02 04:30:00-05:00,1.27446,1.27466,1.27259,1.27274
47,2024-01-02 04:45:00-05:00,1.27273,1.27273,1.2717,1.27175
48,2024-01-02 05:00:00-05:00,1.27173,1.27188,1.27026,1.27067
49,2024-01-02 05:15:00-05:00,1.27066,1.27131,1.2706,1.27093
50,2024-01-02 05:30:00-05:00,1.27094,1.27149,1.27027,1.27071
51,2024-01-02 05:45:00-05:00,1.27071,1.27075,1.26926,1.2695
52,2024-01-02 06:00:00-05:00,1.26954,1.26954,1.26683,1.26699
53,2024-01-02 06:15:00-05:00,1.26699,1.26829,1.26671,1.26732
54,2024-01-02 06:30:00-05:00,1.26732,1.26744,1.26581,1.26585
55,2024-01-02 06:45:00-05:00,1.26585,1.26631,1.26539,1.26627
56,2024-01-02 07:00:00-05:00,1.26627,1.26632,1.26524,1.26566
57,2024-01-02 07:15:00-05:00,1.26566,1.2663,1.26543,1.26591
58,2024-01-02 07:30:00-05:00,1.26591,1.26599,1.26454,1.26478
59,2024-01-02 07:45:00-05:00,1.26477,1.26509,1.26393,1.26435
60,2024-01-02 08:00:00-05:00,1.26435,1.26485,1.26405,1.26444
61,2024-01-02 08:15:00-05:00,1.26444,1.26477,1.26347,1.26401
62,2024-01-02 08:30:00-05:00,1.26403,1.26479,1.26353,1.26384
63,2024-01-02 08:45:00-05:00,1.26384,1.26398,1.26212,1.26295
64,2024-01-02 09:00:00-05:00,1.26296,1.2637,1.262,1.26244
65,2024-01-02 09:15:00-05:00,1.26244,1.26384,1.26219,1.26351
66,2024-01-02 09:30:00-05:00,1.2635,1.26448,1.26313,1.26363
67,2024-01-02 09:45:00-05:00,1.26363,1.26422,1.26244,1.26283
68,2024-01-02 10:00:00-05:00,1.26283,1.26378,1.26198,1.26232
69,2024-01-02 10:15:00-05:00,1.26233,1.26324,1.26155,1.26273
70,2024-01-02 10:30:00-05:00,1.26272,1.26273,1.26151,1.26171
71,2024-01-02 10:45:00-05:00,1.26172,1.2626,1.2615,1.26251
72,2024-01-02 11:00:00-05:00,1.26251,1.26353,1.26171,1.26306
73,2024-01-02 11:15:00-05:00,1.26305,1.26322,1.26221,1.26241
74,2024-01-02 11:30:00-05:00,1.2624,1.26243,1.26107,1.26161
75,2024-01-02 11:45:00-05:00,1.26161,1.26331,1.26154,1.26296
76,2024-01-02 12:00:00-05:00,1.26296,1.2633,1.26235,1.2629
77,2024-01-02 12:15:00-05:00,1.26292,1.26337,1.26219,1.26315
78,2024-01-02 12:30:00-05:00,1.26315,1.2637,1.263,1.2634
79,2024-01-02 12:45:00-05:00,1.2634,1.26355,1.2628,1.2633
80,2024-01-02 13:00:00-05:00,1.26329,1.2635,1.26237,1.26309
