,t,open,high,low,close
0,2024-01-01 17:00:00-05:00,0.63189,0.63232,0.63138,0.63201
1,2024-01-01 17:15:00-05:00,0.63197,0.63225,0.63185,0.63202
2,2024-01-01 17:30:00-05:00,0.63202,0.63228,0.63174,0.63201
3,2024-01-01 17:45:00-05:00,0.63201,0.63209,0.6316,0.63166
4,2024-01-01 18:00:00-05:00,0.63197,0.63222,0.63174,0.63202
5,2024-01-01 18:15:00-05:00,0.63202,0.63203,0.63169,0.63192
6,2024-01-01 18:30:00-05:00,0.63192,0.63206,0.63144,0.63145
7,2024-01-01 18:45:00-05:00,0.63145,0.63146,0.63126,0.63139
8,2024-01-01 19:00:00-05:00,0.6314,0.63189,0.6314,0.63164
9,2024-01-01 19:15:00-05:00,0.63164,0.6317,0.63121,0.63123
10,2024-01-01 19:30:00-05:00,0.63122,0.63138,0.63114,0.63134
11,2024-01-01 19:45:00-05:00,0.63133,0.63155,0.63127,0.63137
12,2024-01-01 20:00:00-05:00,0.63136,0.63204,0.63104,0.63114
13,2024-01-01 20:15:00-05:00,0.63113,0.63161,0.63105,0.63123
14,2024-01-01 20:30:00-05:00,0.63123,0.63135,0.63045,0.63094
15,2024-01-01 20:45:00-05:00,0.63096,0.63122,0.63029,0.6304
16,2024-01-01 21:00:00-05:00,0.6304,0.6306,0.63014,0.63047
17,2024-01-01 21:15:00-05:00,0.63048,0.63065,0.63022,0.63034
18,2024-01-01 21:30:00-05:00,0.63036,0.63039,0.62937,0.62955
19,2024-01-01 21:45:00-05:00,0.62955,0.62971,0.62946,0.62962
20,2024-01-01 22:00:00-05:00,0.62964,0.62994,0.62954,0.62954
21,2024-01-01 22:15:00-05:00,0.62955,0.62972,0.62935,0.62964
22,2024-01-01 22:30:00-05:00,0.62963,0.63016,0.62963,0.63011
23,2024-01-01 22:45:00-05:00,0.63012,0.63029,0.63003,0.63012
24,2024-01-01 23:00:00-05:00,0.63011,0.63031,0.62994,0.63024
25,2024-01-01 23:15:00-05:00,0.63025,0.63041,0.63017,0.63034
26,2024-01-01 23:30:00-05:00,0.63035,0.63058,0.63016,0.63016
27,2024-01-01 23:45:00-05:00,0.63015,0.63034,0.63008,0.63033
28,2024-01-02 00:00:00-05:00,0.63034,0.63095,0.63034,0.63094
29,2024-01-02 00:15:00-05:00,0.63094,0.63113,0.63069,0.63096
30,2024-01-02 00:30:00-05:00,0.63095,0.63124,0.63084,0.63116
31,2024-01-02 00:45:00-05:00,0.63116,0.63161,0.63116,0.63159
32,2024-01-02 01:00:00-05:00,0.63157,0.6316,0.63133,0.63143
33,2024-01-02 01:15:00-05:00,0.63143,0.63166,0.6313,0.63166
34,2024-01-02 01:30:00-05:00,0.63165,0.63168,0.63133,0.6315
35,2024-01-02 01:45:00-05:00,0.63151,0.63151,0.63084,0.63102
36,2024-01-02 02:00:00-05:00,0.63103,0.63113,0.63043,0.6309
37,2024-01-02 02:15:00-05:00,0.63089,0.63126,0.63064,0.63087
38,2024-01-02 02:30:00-05:00,0.63088,0.63105,0.63026,0.63029
39,2024-01-02 02:45:00-05:00,0.63032,0.63044,0.63005,0.63023
40,2024-01-02 03:00:00-05:00,0.63024,0.63133,0.63024,0.6312
41,2024-01-02 03:15:00-05:00,0.63121,0.63124,0.63043,0.63052
42,2024-01-02 03:30:00-05:00,0.63051,0.63085,0.63005,0.63033
43,2024-01-02 03:45:00-05:00,0.63034,0.63058,0.6301,0.63049
44,2024-01-02 04:00:00-05:00,0.6305,0.63088,0.63044,0.6307
45,2024-01-02 04:15:00-05:00,0.63068,0.63108,0.63053,0.63105
46,2024-01-02 04:30:00-05:00,0.63105,0.63155,0.63102,0.63126
47,2024-01-02 04:45:00-05:00,0.63126,0.63138,0.63083,0.63105
48,2024-01-02 05:00:00-05:00,0.63104,0.63133,0.6302,0.63046
49,2024-01-02 05:15:00-05:00,0.63047,0.63071,0.63031,0.63038
50,2024-01-02 05:30:00-05:00,0.63037,0.63089,0.63033,0.63081
51,2024-01-02 05:45:00-05:00,0.63081,0.63118,0.63054,0.63082
52,2024-01-02 06:00:00-05:00,0.63083,0.63087,0.62975,0.62978
53,2024-01-02 06:15:00-05:00,0.62979,0.62982,0.62941,0.62944
54,2024-01-02 06:30:00-05:00,0.62943,0.62944,0.62784,0.62794
55,2024-01-02 06:45:00-05:00,0.62793,0.62819,0.62772,0.6281
56,2024-01-02 07:00:00-05:00,0.62809,0.62831,0.62785,0.6282
